destination_id,name,description,url,image[0].url,address.addr1,address.city,address.region,address.country,address.postal_code,neighborhood[0],latitude,longitude,type,types,price,currency
afterwork-med-relax,Afterwork med relax,"Upplev en skön after work varje onsdag hos oss. Paketet inkluderar entré, badrock, tofflor, handduk, en smakrik kycklingwrap för endast 249 SEK/person.",https://www.hotelskansen.com/paket/afterwork-med-relax/,https://viva-media.github.io/hotelskansen-feed/images/afterwork-med-relax.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,249 SEK,SEK
golfpaket,Golfpaket,"Upplev det ultimata golfpaketet på Öland med Hotel Skansen: Spela på Saxnäs GK. Inkluderar greenfee, övernattning, mousserande vin och gourmetmiddagar.",https://www.hotelskansen.com/paket/golfpaket/,https://viva-media.github.io/hotelskansen-feed/images/golfpaket.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1640 SEK,SEK
halvdag-1,Dagsmys,"Njut av en halvdagsvistelse för 715 SEK/person, som inkluderar badrock, handduk, tofflor, entré till relaxen, lunch och en 25-minuters behandling.",https://www.hotelskansen.com/paket/halvdag-1/,https://viva-media.github.io/hotelskansen-feed/images/halvdag-1.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,715 SEK,SEK
kvallsmys-50-min,Kvällslyx,"Lyxigt Kvällsmys 2 för 1150 kr/person: Inkluderar badrock, handduk, tofflor, relaxentré, välkomstdrink, 2-rätters middag och 50 min valfri behandling.",https://www.hotelskansen.com/paket/kvallsmys-50-min/,https://viva-media.github.io/hotelskansen-feed/images/kvallsmys-50-min.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1150 SEK,SEK
mandagsspa-for-seniorer,Seniorspa,"Måndagsspa för seniorer: Tillgång till relax, inklusive handduk och lunch, för 280 kr/person. Njut av en avkopplande dag mellan 09.00-15.00.",https://www.hotelskansen.com/paket/mandagsspa-for-seniorer/,https://viva-media.github.io/hotelskansen-feed/images/mandagsspa-for-seniorer.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,280 SEK,SEK
midsommarpaketet,Midsommarpaket,"Fira midsommar på Öland med vårt Midsommarpaket: Njut av midsommarkaka, 3-rätters middag och härlig atmosfär. Perfekt för familjer och vänner.",https://www.hotelskansen.com/paket/midsommarpaketet/,https://viva-media.github.io/hotelskansen-feed/images/midsommarpaketet.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,850 SEK,SEK
minisemester-3-natter,Minisemester 3 nätter,"Unna dig en tre-dagars minisemester på Öland och låt vardagsstressen sväva bort. Lyxiga tvårätters middagar, bubblande välkomstdrinkar och SPA.",https://www.hotelskansen.com/paket/minisemester-3-natter/,https://viva-media.github.io/hotelskansen-feed/images/minisemester-3-natter.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1500 SEK,SEK
mohippa-svensexa-kompisgang-foretagshang,Spapaket för grupper,"Fira med vänner eller kollegor i vår relaxavdelning. Inkluderar badrock, handduk, tofflor, 1 dryck och snacks fr. 580 kr/person. För grupper om minst 5.",https://www.hotelskansen.com/paket/mohippa-svensexa-kompisgang-foretagshang/,https://viva-media.github.io/hotelskansen-feed/images/mohippa-svensexa-kompisgang-foretagshang.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,580 SEK,SEK
mord-mystik,Mord & Mystik,"Middagsmordet 10 oktober Den populära mordgåtan är tillbaka! Den 10 oktober är ni välkomna till en klassisk mordhistoria på hotellet. Festdeltagarna samlas, champagneglasen klingar och du befinner dig i händelsernas centrum. Framfört av professionella skådespelare från Loungeteatern kommer du tas med på en middagsmordgåta som du sent kommer att glömma. Vem har mördats och vem [&hellip;]",https://www.hotelskansen.com/paket/mord-mystik/,https://viva-media.github.io/hotelskansen-feed/images/mord-mystik.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,1750 SEK,SEK
morgonmys,Morgonmys,"En Perfekt Start på Dagen Ge dig själv en paus från vardagen med vårt exklusiva spapaket Morgonmys. Börja dagen på bästa sätt med en härlig frukost och fortsätt sedan njuta av en rofylld förmiddag i vår relaxavdelning – det perfekta sättet att ladda upp med ny energi. I paketet ingår: Frukostbuffé (på vardagar serveras den 6.30-09.30, [&hellip;]",https://www.hotelskansen.com/paket/morgonmys/,https://viva-media.github.io/hotelskansen-feed/images/morgonmys.jpg,Tingshusgatan 1,Färjestaden,Kalmar län,SE,386 30,Öland,56.64897,16.46713,Hotel,Hotel,349 SEK,SEK
